fullname,firstname,lastname,id,party,state,position,start_term,end_term
Pete Ricketts,Pete,Ricketts,R000618,Republican,NE,sen,2023-01-23,2024-11-05
Sherrod Brown,Sherrod,Brown,B000944,Democrat,OH,sen,2019-01-03,2025-01-03
Lizzie Fletcher,Lizzie,Fletcher,F000468,Democrat,TX,rep,2023-01-03,2025-01-03
Lance Gooden,Lance,Gooden,G000589,Republican,TX,rep,2023-01-03,2025-01-03
Dan Crenshaw,Dan,Crenshaw,C001120,Republican,TX,rep,2023-01-03,2025-01-03
Mark E Green,Mark,Green,G000590,Republican,TN,rep,2023-01-03,2025-01-03
John W Rose,John,Rose,R000612,Republican,TN,rep,2023-01-03,2025-01-03
Tim Burchett,Tim,Burchett,B001309,Republican,TN,rep,2023-01-03,2025-01-03
Dusty Johnson,Dusty,Johnson,J000301,Republican,SD,rep,2023-01-03,2025-01-03
William R Timmons IV,William,Timmons,T000480,Republican,SC,rep,2023-01-03,2025-01-03
Guy Reschenthaler,Guy,Reschenthaler,R000610,Republican,PA,rep,2023-01-03,2025-01-03
John Joyce,John,Joyce,J000302,Republican,PA,rep,2023-01-03,2025-01-03
Daniel Meuser,Daniel,Meuser,M001204,Republican,PA,rep,2023-01-03,2025-01-03
Chrissy Houlahan,Chrissy,Houlahan,H001085,Democrat,PA,rep,2023-01-03,2025-01-03
Madeleine Dean,Madeleine,Dean,D000631,Democrat,PA,rep,2023-01-03,2025-01-03
Alexandria OcasioCortez,Alexandria,OcasioCortez,O000172,Democrat,NY,rep,2023-01-03,2025-01-03
Susie Lee,Susie,Lee,L000590,Democrat,NV,rep,2023-01-03,2025-01-03
Mikie Sherrill,Mikie,Sherrill,S001207,Democrat,NJ,rep,2023-01-03,2025-01-03
Andy Kim,Andy,Kim,K000394,Democrat,NJ,rep,2023-01-03,2025-01-03
Jefferson Van Drew,Jefferson,Van Drew,V000133,Republican,NJ,rep,2023-01-03,2025-01-03
